Wall time,Step,Value
1759284231.1661592,132250,-21.996065139770508
1759284231.390364,132550,-24.49527931213379
1759284231.57236,132800,-22.361419677734375
1759284232.4262002,133950,-24.435792922973633
1759284232.68579,134300,-22.958791732788086
1759284232.873543,134550,-22.38395881652832
1759284233.352405,135200,-22.89573860168457
1759284233.608906,135550,-22.116065979003906
1759284234.1640809,136300,-24.802335739135742
1759284234.604782,136900,-21.92046356201172
1759284234.7143629,137050,-22.48031997680664
1759284235.2304158,137750,-20.508634567260742
1759284236.502105,139500,-23.291048049926758
1759284236.53952,139550,-22.738513946533203
1759284236.575743,139600,-22.65296173095703
1759284237.233972,140500,-23.28803253173828
1759284237.7922409,141250,-23.065532684326172
1759284239.544998,143650,-19.226295471191406
1759284239.870611,144100,-24.00082015991211
1759284240.1944692,144550,-21.54340171813965
1759284240.410253,144850,-23.282827377319336
1759284241.165848,145900,-21.920854568481445
1759284241.237927,146000,-22.7110652923584
1759284241.2827652,146050,-22.91643524169922
1759284243.037929,148400,-21.72368812561035
1759284243.3286998,148800,-22.67327880859375
1759284244.158436,149950,-23.328033447265625
1759284244.481388,150400,-23.874874114990234
1759284244.625518,150600,-23.840328216552734
1759284244.771397,150800,-23.163114547729492
1759284245.2095108,151400,-21.523771286010742
1759284245.318487,151550,-21.80868911743164
1759284245.608532,151950,-21.261310577392578
1759284245.718847,152100,-23.715410232543945
1759284246.591188,153300,-19.429672241210938
1759284246.7367659,153500,-22.44590187072754
1759284246.80959,153600,-23.043113708496094
1759284247.827806,155000,-23.225574493408203
1759284248.671134,156150,-23.003114700317383
1759284249.241885,156900,-22.83819580078125
1759284249.535837,157300,-21.210939407348633
1759284249.7190552,157550,-23.390491485595703
1759284249.902472,157800,-21.033933639526367
1759284250.12359,158100,-21.466230392456055
1759284250.709692,158900,-23.300033569335938
1759284251.409773,159800,-21.961776733398438
1759284251.451875,159850,-21.11980438232422
1759284251.720406,160200,-21.096710205078125
1759284251.831606,160350,-21.525991439819336
1759284252.745964,161550,-21.834394454956055
1759284252.856046,161700,-22.53518295288086
1759284253.140735,162050,-22.96208381652832
1759284253.252518,162200,-22.411176681518555
1759284253.289423,162250,-21.836700439453125
1759284253.363143,162350,-22.656213760375977
1759284253.3996868,162400,-22.798751831054688
1759284254.337394,163650,-21.569839477539062
1759284254.669642,164100,-22.69645118713379
1759284255.5606642,165300,-22.08193588256836
1759284255.8611782,165700,-21.2450008392334
1759284256.395473,166400,-22.614667892456055
1759284256.4352481,166450,-21.280677795410156
1759284257.100609,167300,-21.606475830078125
1759284258.2084322,168750,-22.64797592163086
1759284258.282741,168850,-22.325305938720703
1759284258.666102,169350,-20.767826080322266
1759284259.3106089,170200,-23.969947814941406
1759284259.498842,170450,-22.61081886291504
1759284260.352428,171550,-22.44590187072754
1759284260.658497,171950,-23.965246200561523
1759284261.074767,172500,-21.056392669677734
1759284261.1510458,172600,-23.390491485595703
1759284261.418781,172950,-23.5788516998291
1759284261.6736052,173250,-22.503442764282227
1759284261.94888,173600,-23.225574493408203
1759284262.181233,173900,-22.32590103149414
1759284262.299403,174050,-21.381986618041992
1759284262.9737659,174900,-22.674785614013672
1759284263.4408882,175500,-23.943342208862305
1759284263.556013,175650,-21.956066131591797
1759284263.84226,176000,-22.343442916870117
1759284264.461349,176800,-23.595409393310547
1759284264.539108,176900,-19.354589462280273
1759284264.786842,177200,-22.138525009155273
1759284264.942837,177400,-22.03748893737793
1759284265.5670002,178200,-4.624264717102051
1759284266.240445,179050,67.19143676757812
1759284267.024736,180050,152.79595947265625
1759284267.7442648,180950,-5.744163513183594
1759284267.829094,181050,-22.041934967041016
1759284267.914371,181150,-22.45161247253418
1759284268.051154,181300,-4.392890453338623
1759284268.199372,181450,-4.392890453338623
1759284268.907304,182300,-21.502004623413086
1759284269.3431091,182850,30.21099281311035
1759284269.896725,183550,82.61125183105469
1759284271.077683,185050,222.7274169921875
1759284271.156306,185150,222.7274169921875
1759284272.083424,186350,328.4576721191406
1759284272.236532,186550,-4.939327716827393
1759284272.311589,186650,-23.1109676361084
1759284272.544168,186950,-21.017742156982422
1759284272.656667,187100,-22.382526397705078
1759284272.736316,187200,-22.382526397705078
1759284273.088313,187650,13.358180046081543
1759284273.3627741,188000,47.8603401184082
1759284273.870822,188650,101.24435424804688
1759284274.186316,189050,-5.536391735076904
1759284274.696272,189700,44.450157165527344
1759284274.773939,189800,44.450157165527344
1759284274.8911412,189950,61.9538459777832
1759284275.514579,190750,130.79071044921875
1759284275.710442,191000,148.62841796875
1759284275.79188,191100,149.05091857910156
1759284276.2204642,191600,184.20423889160156
1759284276.376961,191800,-21.467418670654297
1759284277.524657,193250,84.70693969726562
1759284277.718081,193500,118.0430679321289
1759284278.018765,193850,136.08554077148438
1759284279.748553,196050,330.8655700683594
1759284280.0785742,196450,365.1274108886719
1759284280.353003,196800,399.67047119140625
1759284280.511787,197000,417.0640869140625
1759284280.944986,197550,470.2800598144531
1759284281.172262,197850,487.66131591796875
1759284281.416408,198150,523.73291015625
1759284282.297693,199250,610.3106689453125
1759284282.730623,199800,662.5261840820312
1759284282.925736,200050,679.8818969726562
1759284283.2766578,200500,734.5773315429688
1759284283.315896,200550,734.5773315429688
1759284283.789173,201150,788.4536743164062
1759284284.2281952,201700,823.419921875
1759284284.362192,201850,823.419921875
1759284284.759336,202350,875.6263427734375
1759284286.6151931,204700,1086.3511962890625
1759284286.810157,204950,1104.1650390625
1759284286.8490229,205000,1104.1650390625
1759284287.2384791,205500,1158.4129638671875
1759284290.1026208,209150,1479.5360107421875
1759284290.536659,209700,1530.8685302734375
1759284290.575584,209750,1530.8685302734375
1759284290.653536,209850,1530.8685302734375
1759284290.729717,209950,1549.08740234375
1759284290.8472571,210100,1566.0916748046875
1759284290.8859231,210150,1566.0916748046875
1759284291.8570712,211400,1670.559326171875
1759284292.101946,211650,1688.7200927734375
1759284292.218567,211800,1705.3944091796875
1759284292.523314,212200,1740.5545654296875
1759284292.9458392,212750,1739.3455810546875
1759284293.310116,213200,1738.57666015625
1759284293.434121,213350,1739.58056640625
1759284293.47403,213400,1739.58056640625
1759284294.086169,214150,1738.3902587890625
1759284294.7279449,214950,1738.3341064453125
1759284294.976753,215250,1738.499755859375
1759284295.132558,215450,1738.3203125
1759284295.790844,215900,1740.737060546875
1759284295.918772,216000,1740.737060546875
1759284296.3263092,216450,1741.6241455078125
1759284296.5229099,216650,1742.0621337890625
1759284296.980746,217200,1741.2977294921875
1759284298.032908,218500,1743.6534423828125
1759284298.382674,218950,1744.2425537109375
1759284299.047323,219700,1747.547607421875
1759284299.3553228,220050,1747.9351806640625
1759284299.589077,220350,1746.6876220703125
1759284299.782916,220550,1745.10595703125
1759284299.822169,220600,1745.10595703125
1759284300.578217,221550,1743.452392578125
1759284300.698036,221700,1744.270751953125
1759284302.139126,223500,1701.1558837890625
1759284302.378162,223800,1701.8123779296875
1759284303.085376,224550,1704.89599609375
1759284303.161546,224650,1704.89599609375
1759284303.8177001,225500,1653.189453125
1759284303.856597,225550,1654.5760498046875
1759284304.641664,226500,1081.757568359375
1759284304.6805,226550,1081.757568359375
1759284304.799571,226700,1081.6004638671875
1759284305.1919281,227150,1080.4061279296875
1759284305.651021,227700,1079.4678955078125
1759284306.713381,228950,1080.3023681640625
1759284306.8421388,229100,1078.91552734375
1759284307.316093,229650,1078.9468994140625
1759284307.4565709,229800,1078.6685791015625
1759284307.538489,229900,1078.6685791015625
1759284307.616365,230000,1078.56640625
1759284308.106425,230600,1077.0064697265625
1759284308.789035,231450,1074.7001953125
1759284309.726492,232500,1071.9764404296875
1759284310.023891,232850,1070.0391845703125
1759284310.376417,233250,922.6611938476562
1759284310.5272589,233450,827.8933715820312
1759284310.8410308,233800,670.0258178710938
1759284310.883841,233850,670.0258178710938
1759284310.926773,233900,670.0258178710938
1759284311.358578,234400,698.9159545898438
1759284312.471264,235700,763.5103149414062
1759284312.663959,235950,800.9115600585938
1759284313.3375711,236750,871.7926635742188
1759284313.764956,237300,906.5340576171875
1759284313.921057,237500,931.341064453125
1759284313.9591439,237550,936.0545043945312
1759284314.323782,237950,950.9378051757812
1759284314.693714,238250,776.6612548828125
1759284314.8460648,238400,541.3743286132812
1759284315.1858351,238850,329.69287109375
1759284315.338858,239050,341.4335021972656
1759284315.741324,239400,-4.355742454528809
1759284315.799716,239450,-25.36082649230957
1759284316.068697,239750,-49.475730895996094
1759284316.420458,240050,-35.16073989868164
1759284316.527009,240150,-27.244380950927734
1759284316.64681,240300,-11.599630355834961
1759284318.62307,242050,128.71571350097656
1759284319.233612,242650,159.9891357421875
1759284320.0666611,243600,247.41732788085938
1759284320.193116,243700,265.1051330566406
1759284321.069421,244750,355.2702941894531
1759284321.8663628,245750,447.34991455078125
1759284322.8063612,246950,544.7963256835938
1759284322.927974,247100,545.1626586914062
1759284323.462018,247750,-56.99818801879883
1759284323.786117,248150,-55.00516891479492
1759284324.160966,248600,-18.289762496948242
1759284324.272795,248750,0.07452145218849182
1759284324.348046,248850,0.07452145218849182
1759284324.386664,248900,0.07452145218849182
1759284326.5337138,251100,192.1822967529297
1759284326.82982,251400,228.16273498535156
1759284326.951807,251550,247.31161499023438
1759284327.228714,251900,264.7696228027344
1759284327.834118,252550,339.4654846191406
1759284327.976952,252650,339.4654846191406
1759284328.03596,252700,339.4654846191406
1759284328.369684,253050,377.1417236328125
1759284329.125917,253950,471.10931396484375
1759284330.066766,255100,562.9940185546875
1759284330.2648919,255350,595.8422241210938
1759284331.235669,256350,796.7549438476562
1759284331.362507,256450,840.25244140625
1759284331.649195,256750,879.3526611328125
